"Step","flowing-moon-9-0 - Loss/train","flowing-moon-9-0 - Loss/train__MIN","flowing-moon-9-0 - Loss/train__MAX"
"0","1.4949729442596436","1.4949729442596436","1.4949729442596436"
"1","0.7866076231002808","0.7866076231002808","0.7866076231002808"
"2","0.6106498837471008","0.6106498837471008","0.6106498837471008"
"3","0.3657599091529846","0.3657599091529846","0.3657599091529846"
"4","0.42544248700141907","0.42544248700141907","0.42544248700141907"
"5","0.3257788121700287","0.3257788121700287","0.3257788121700287"
"6","0.31616848707199097","0.31616848707199097","0.31616848707199097"
"7","0.3433639705181122","0.3433639705181122","0.3433639705181122"
"8","0.18821215629577637","0.18821215629577637","0.18821215629577637"
"9","0.2634689211845398","0.2634689211845398","0.2634689211845398"
"10","0.2631646394729614","0.2631646394729614","0.2631646394729614"
"11","0.22282391786575317","0.22282391786575317","0.22282391786575317"
"13","0.22201581299304962","0.22201581299304962","0.22201581299304962"
"14","0.21181315183639526","0.21181315183639526","0.21181315183639526"
"15","0.19688823819160461","0.19688823819160461","0.19688823819160461"
"16","0.20770558714866638","0.20770558714866638","0.20770558714866638"
"17","0.22907096147537231","0.22907096147537231","0.22907096147537231"
"18","0.23216205835342407","0.23216205835342407","0.23216205835342407"
"19","0.24853338301181793","0.24853338301181793","0.24853338301181793"
"20","0.23106655478477478","0.23106655478477478","0.23106655478477478"
"21","0.26858919858932495","0.26858919858932495","0.26858919858932495"
"22","0.2929431200027466","0.2929431200027466","0.2929431200027466"
"23","0.33723175525665283","0.33723175525665283","0.33723175525665283"
"24","0.2366933822631836","0.2366933822631836","0.2366933822631836"
"26","0.20010849833488464","0.20010849833488464","0.20010849833488464"
"27","0.1827562004327774","0.1827562004327774","0.1827562004327774"
"28","0.2047002613544464","0.2047002613544464","0.2047002613544464"
"29","0.22951573133468628","0.22951573133468628","0.22951573133468628"
"30","0.1503450870513916","0.1503450870513916","0.1503450870513916"
"31","0.15863627195358276","0.15863627195358276","0.15863627195358276"
"32","0.19536401331424713","0.19536401331424713","0.19536401331424713"
"33","0.19597473740577698","0.19597473740577698","0.19597473740577698"
"34","0.19063356518745422","0.19063356518745422","0.19063356518745422"
"35","0.1894170343875885","0.1894170343875885","0.1894170343875885"
"36","0.2002485692501068","0.2002485692501068","0.2002485692501068"
"37","0.1621684432029724","0.1621684432029724","0.1621684432029724"
"39","0.1653924286365509","0.1653924286365509","0.1653924286365509"
"40","0.19928330183029175","0.19928330183029175","0.19928330183029175"
"41","0.13866940140724182","0.13866940140724182","0.13866940140724182"
"42","0.1465456783771515","0.1465456783771515","0.1465456783771515"
"43","0.17483147978782654","0.17483147978782654","0.17483147978782654"
"44","0.1250365972518921","0.1250365972518921","0.1250365972518921"
"45","0.16061435639858246","0.16061435639858246","0.16061435639858246"
"46","0.15632197260856628","0.15632197260856628","0.15632197260856628"
"47","0.18410229682922363","0.18410229682922363","0.18410229682922363"
"48","0.25737518072128296","0.25737518072128296","0.25737518072128296"
"49","0.19078375399112701","0.19078375399112701","0.19078375399112701"
"50","0.16959236562252045","0.16959236562252045","0.16959236562252045"
"52","0.1927153468132019","0.1927153468132019","0.1927153468132019"
"53","0.18493641912937164","0.18493641912937164","0.18493641912937164"
"54","0.141304612159729","0.141304612159729","0.141304612159729"
"55","0.16966262459754944","0.16966262459754944","0.16966262459754944"
"56","0.15881472826004028","0.15881472826004028","0.15881472826004028"
"57","0.1663282811641693","0.1663282811641693","0.1663282811641693"
"58","0.2518067955970764","0.2518067955970764","0.2518067955970764"
"59","0.15096119046211243","0.15096119046211243","0.15096119046211243"
"60","0.10880210250616074","0.10880210250616074","0.10880210250616074"
"61","0.20983847975730896","0.20983847975730896","0.20983847975730896"
"62","0.16327902674674988","0.16327902674674988","0.16327902674674988"
"63","0.18157581984996796","0.18157581984996796","0.18157581984996796"
"65","0.21646785736083984","0.21646785736083984","0.21646785736083984"
"66","0.15399181842803955","0.15399181842803955","0.15399181842803955"
