"Step","fallen-sky-11-0 - Loss/train","fallen-sky-11-0 - Loss/train__MIN","fallen-sky-11-0 - Loss/train__MAX"
"0","1.3122947216033936","1.3122947216033936","1.3122947216033936"
"1","0.6310053467750549","0.6310053467750549","0.6310053467750549"
"2","0.4959021210670471","0.4959021210670471","0.4959021210670471"
"3","0.5179644823074341","0.5179644823074341","0.5179644823074341"
"4","0.4397549629211426","0.4397549629211426","0.4397549629211426"
"5","0.2940417528152466","0.2940417528152466","0.2940417528152466"
"6","0.2979339361190796","0.2979339361190796","0.2979339361190796"
"7","0.2281607687473297","0.2281607687473297","0.2281607687473297"
"8","0.5056519508361816","0.5056519508361816","0.5056519508361816"
"9","0.330034077167511","0.330034077167511","0.330034077167511"
"10","0.16401472687721252","0.16401472687721252","0.16401472687721252"
"11","0.30362850427627563","0.30362850427627563","0.30362850427627563"
"13","0.2210969179868698","0.2210969179868698","0.2210969179868698"
"14","0.2614150047302246","0.2614150047302246","0.2614150047302246"
"15","0.3892844617366791","0.3892844617366791","0.3892844617366791"
"16","0.1726011484861374","0.1726011484861374","0.1726011484861374"
"17","0.27885180711746216","0.27885180711746216","0.27885180711746216"
"18","0.3149299919605255","0.3149299919605255","0.3149299919605255"
"19","0.17296993732452393","0.17296993732452393","0.17296993732452393"
"20","0.24229347705841064","0.24229347705841064","0.24229347705841064"
"21","0.23713591694831848","0.23713591694831848","0.23713591694831848"
"22","0.19965431094169617","0.19965431094169617","0.19965431094169617"
"23","0.16638638079166412","0.16638638079166412","0.16638638079166412"
"24","0.1728885918855667","0.1728885918855667","0.1728885918855667"
"26","0.18903684616088867","0.18903684616088867","0.18903684616088867"
"27","0.15931999683380127","0.15931999683380127","0.15931999683380127"
"28","0.21123287081718445","0.21123287081718445","0.21123287081718445"
"29","0.15964657068252563","0.15964657068252563","0.15964657068252563"
"30","0.17491862177848816","0.17491862177848816","0.17491862177848816"
"31","0.17284025251865387","0.17284025251865387","0.17284025251865387"
"32","0.27882134914398193","0.27882134914398193","0.27882134914398193"
"33","0.19625702500343323","0.19625702500343323","0.19625702500343323"
"34","0.15102189779281616","0.15102189779281616","0.15102189779281616"
"35","0.16808417439460754","0.16808417439460754","0.16808417439460754"
"36","0.21376174688339233","0.21376174688339233","0.21376174688339233"
"37","0.14734125137329102","0.14734125137329102","0.14734125137329102"
"39","0.19674664735794067","0.19674664735794067","0.19674664735794067"
"40","0.2535548806190491","0.2535548806190491","0.2535548806190491"
"41","0.199314683675766","0.199314683675766","0.199314683675766"
"42","0.25909098982810974","0.25909098982810974","0.25909098982810974"
"43","0.2201341688632965","0.2201341688632965","0.2201341688632965"
"44","0.2321174144744873","0.2321174144744873","0.2321174144744873"
"45","0.22201761603355408","0.22201761603355408","0.22201761603355408"
"46","0.23227879405021667","0.23227879405021667","0.23227879405021667"
"47","0.1807347536087036","0.1807347536087036","0.1807347536087036"
"48","0.2149365246295929","0.2149365246295929","0.2149365246295929"
"49","0.2223203331232071","0.2223203331232071","0.2223203331232071"
"50","0.2667544186115265","0.2667544186115265","0.2667544186115265"
"52","0.18856897950172424","0.18856897950172424","0.18856897950172424"
"53","0.16787701845169067","0.16787701845169067","0.16787701845169067"
