"Step","unique-dust-11-0 - Loss/train","unique-dust-11-0 - Loss/train__MIN","unique-dust-11-0 - Loss/train__MAX"
"0","1.3895686864852905","1.3895686864852905","1.3895686864852905"
"1","0.7304041385650635","0.7304041385650635","0.7304041385650635"
"2","0.4777414798736572","0.4777414798736572","0.4777414798736572"
"3","0.35118722915649414","0.35118722915649414","0.35118722915649414"
"4","0.6132259964942932","0.6132259964942932","0.6132259964942932"
"5","0.3444705903530121","0.3444705903530121","0.3444705903530121"
"6","0.3100645840167999","0.3100645840167999","0.3100645840167999"
"7","0.289034903049469","0.289034903049469","0.289034903049469"
"8","0.2562630772590637","0.2562630772590637","0.2562630772590637"
"9","0.2595309913158417","0.2595309913158417","0.2595309913158417"
"10","0.1664976179599762","0.1664976179599762","0.1664976179599762"
"11","0.2295961081981659","0.2295961081981659","0.2295961081981659"
"13","0.17691996693611145","0.17691996693611145","0.17691996693611145"
"14","0.20260325074195862","0.20260325074195862","0.20260325074195862"
"15","0.23403388261795044","0.23403388261795044","0.23403388261795044"
"16","0.16163703799247742","0.16163703799247742","0.16163703799247742"
"17","0.22662806510925293","0.22662806510925293","0.22662806510925293"
"18","0.18703380227088928","0.18703380227088928","0.18703380227088928"
"19","0.23426103591918945","0.23426103591918945","0.23426103591918945"
"20","0.3056078255176544","0.3056078255176544","0.3056078255176544"
"21","0.2633303105831146","0.2633303105831146","0.2633303105831146"
"22","0.25041675567626953","0.25041675567626953","0.25041675567626953"
"23","0.2924230992794037","0.2924230992794037","0.2924230992794037"
"24","0.21289317309856415","0.21289317309856415","0.21289317309856415"
"26","0.23693695664405823","0.23693695664405823","0.23693695664405823"
"27","0.1463642418384552","0.1463642418384552","0.1463642418384552"
"28","0.1179206371307373","0.1179206371307373","0.1179206371307373"
"29","0.24295079708099365","0.24295079708099365","0.24295079708099365"
"30","0.1569293737411499","0.1569293737411499","0.1569293737411499"
"31","0.20642831921577454","0.20642831921577454","0.20642831921577454"
"32","0.2014196217060089","0.2014196217060089","0.2014196217060089"
"33","0.18031731247901917","0.18031731247901917","0.18031731247901917"
"34","0.17574936151504517","0.17574936151504517","0.17574936151504517"
"35","0.19359128177165985","0.19359128177165985","0.19359128177165985"
"36","0.20974746346473694","0.20974746346473694","0.20974746346473694"
"37","0.18768049776554108","0.18768049776554108","0.18768049776554108"
"39","0.17817999422550201","0.17817999422550201","0.17817999422550201"
