"Step","firm-snowball-13-0 - Loss/train","firm-snowball-13-0 - Loss/train__MIN","firm-snowball-13-0 - Loss/train__MAX"
"0","1.1865017414093018","1.1865017414093018","1.1865017414093018"
"1","0.5941834449768066","0.5941834449768066","0.5941834449768066"
"2","0.39266714453697205","0.39266714453697205","0.39266714453697205"
"3","0.48248735070228577","0.48248735070228577","0.48248735070228577"
"4","0.3342093527317047","0.3342093527317047","0.3342093527317047"
"5","0.4954291582107544","0.4954291582107544","0.4954291582107544"
"6","0.4272351861000061","0.4272351861000061","0.4272351861000061"
"7","0.3867034912109375","0.3867034912109375","0.3867034912109375"
"8","0.22464463114738464","0.22464463114738464","0.22464463114738464"
"9","0.1503843069076538","0.1503843069076538","0.1503843069076538"
"10","0.143170565366745","0.143170565366745","0.143170565366745"
"11","0.276703417301178","0.276703417301178","0.276703417301178"
"13","0.2641568183898926","0.2641568183898926","0.2641568183898926"
"14","0.2715207040309906","0.2715207040309906","0.2715207040309906"
"15","0.2693856656551361","0.2693856656551361","0.2693856656551361"
"16","0.19644691050052643","0.19644691050052643","0.19644691050052643"
"17","0.1932705044746399","0.1932705044746399","0.1932705044746399"
"18","0.2344328910112381","0.2344328910112381","0.2344328910112381"
"19","0.19994200766086578","0.19994200766086578","0.19994200766086578"
"20","0.17549028992652893","0.17549028992652893","0.17549028992652893"
"21","0.14103242754936218","0.14103242754936218","0.14103242754936218"
"22","0.24017786979675293","0.24017786979675293","0.24017786979675293"
"23","0.17308858036994934","0.17308858036994934","0.17308858036994934"
"24","0.15463756024837494","0.15463756024837494","0.15463756024837494"
"26","0.14659705758094788","0.14659705758094788","0.14659705758094788"
"27","0.16927137970924377","0.16927137970924377","0.16927137970924377"
"28","0.21937790513038635","0.21937790513038635","0.21937790513038635"
"29","0.17137134075164795","0.17137134075164795","0.17137134075164795"
"30","0.1710878610610962","0.1710878610610962","0.1710878610610962"
"31","0.1851377934217453","0.1851377934217453","0.1851377934217453"
"32","0.30320799350738525","0.30320799350738525","0.30320799350738525"
"33","0.16632860898971558","0.16632860898971558","0.16632860898971558"
"34","0.24252872169017792","0.24252872169017792","0.24252872169017792"
"35","0.17005988955497742","0.17005988955497742","0.17005988955497742"
"36","0.15386927127838135","0.15386927127838135","0.15386927127838135"
"37","0.1987568885087967","0.1987568885087967","0.1987568885087967"
"39","0.13239236176013947","0.13239236176013947","0.13239236176013947"
"40","0.28238803148269653","0.28238803148269653","0.28238803148269653"
"41","0.24066099524497986","0.24066099524497986","0.24066099524497986"
"42","0.24639663100242615","0.24639663100242615","0.24639663100242615"
"43","0.14798839390277863","0.14798839390277863","0.14798839390277863"
"44","0.17835170030593872","0.17835170030593872","0.17835170030593872"
"45","0.30997782945632935","0.30997782945632935","0.30997782945632935"
"46","0.35317695140838623","0.35317695140838623","0.35317695140838623"
"47","0.2941586375236511","0.2941586375236511","0.2941586375236511"
"48","0.1962658166885376","0.1962658166885376","0.1962658166885376"
"49","0.2309339940547943","0.2309339940547943","0.2309339940547943"
"50","0.32025545835494995","0.32025545835494995","0.32025545835494995"
"52","0.28292107582092285","0.28292107582092285","0.28292107582092285"
"53","0.22140894830226898","0.22140894830226898","0.22140894830226898"
"54","0.27942562103271484","0.27942562103271484","0.27942562103271484"
"55","0.21448859572410583","0.21448859572410583","0.21448859572410583"
"56","0.15954411029815674","0.15954411029815674","0.15954411029815674"
"57","0.19270552694797516","0.19270552694797516","0.19270552694797516"
"58","0.17579467594623566","0.17579467594623566","0.17579467594623566"
"59","0.21774545311927795","0.21774545311927795","0.21774545311927795"
"60","0.22729912400245667","0.22729912400245667","0.22729912400245667"
"61","0.22329214215278625","0.22329214215278625","0.22329214215278625"
"62","0.17128941416740417","0.17128941416740417","0.17128941416740417"
"63","0.1603299230337143","0.1603299230337143","0.1603299230337143"
"65","0.20720097422599792","0.20720097422599792","0.20720097422599792"
"66","0.18303358554840088","0.18303358554840088","0.18303358554840088"
"67","0.1600460410118103","0.1600460410118103","0.1600460410118103"
"68","0.13391616940498352","0.13391616940498352","0.13391616940498352"
"69","0.1862504482269287","0.1862504482269287","0.1862504482269287"
"70","0.20197755098342896","0.20197755098342896","0.20197755098342896"
"71","0.161060631275177","0.161060631275177","0.161060631275177"
"72","0.1550869643688202","0.1550869643688202","0.1550869643688202"
"73","0.1683092713356018","0.1683092713356018","0.1683092713356018"
"74","0.19188931584358215","0.19188931584358215","0.19188931584358215"
"75","0.14635233581066132","0.14635233581066132","0.14635233581066132"
"76","0.1631132811307907","0.1631132811307907","0.1631132811307907"
"78","0.14462310075759888","0.14462310075759888","0.14462310075759888"
"79","0.13376331329345703","0.13376331329345703","0.13376331329345703"
"80","0.17358386516571045","0.17358386516571045","0.17358386516571045"
"81","0.1459478735923767","0.1459478735923767","0.1459478735923767"
"82","0.18248721957206726","0.18248721957206726","0.18248721957206726"
"83","0.17946763336658478","0.17946763336658478","0.17946763336658478"
"84","0.11582070589065552","0.11582070589065552","0.11582070589065552"
"85","0.218228280544281","0.218228280544281","0.218228280544281"
"86","0.18950146436691284","0.18950146436691284","0.18950146436691284"
"87","0.13642624020576477","0.13642624020576477","0.13642624020576477"
"88","0.13630813360214233","0.13630813360214233","0.13630813360214233"
"89","0.14517901837825775","0.14517901837825775","0.14517901837825775"
"91","0.12940210103988647","0.12940210103988647","0.12940210103988647"
"92","0.1625746637582779","0.1625746637582779","0.1625746637582779"
"93","0.16555379331111908","0.16555379331111908","0.16555379331111908"
"94","0.1763957142829895","0.1763957142829895","0.1763957142829895"
"95","0.12114744633436203","0.12114744633436203","0.12114744633436203"
"96","0.15507414937019348","0.15507414937019348","0.15507414937019348"
"97","0.150350421667099","0.150350421667099","0.150350421667099"
"98","0.12169147282838821","0.12169147282838821","0.12169147282838821"
"99","0.103028304874897","0.103028304874897","0.103028304874897"
"100","0.11466863006353378","0.11466863006353378","0.11466863006353378"
"101","0.13762319087982178","0.13762319087982178","0.13762319087982178"
"102","0.12328743189573288","0.12328743189573288","0.12328743189573288"
"104","0.10668589919805527","0.10668589919805527","0.10668589919805527"
"105","0.1872093677520752","0.1872093677520752","0.1872093677520752"
"106","0.11896112561225891","0.11896112561225891","0.11896112561225891"
"107","0.15559320151805878","0.15559320151805878","0.15559320151805878"
"108","0.17054250836372375","0.17054250836372375","0.17054250836372375"
"109","0.11456790566444397","0.11456790566444397","0.11456790566444397"
"110","0.11655846238136292","0.11655846238136292","0.11655846238136292"
"111","0.11030523478984833","0.11030523478984833","0.11030523478984833"
"112","0.1325368881225586","0.1325368881225586","0.1325368881225586"
"113","0.10236380994319916","0.10236380994319916","0.10236380994319916"
"114","0.13864904642105103","0.13864904642105103","0.13864904642105103"
"115","0.1223105788230896","0.1223105788230896","0.1223105788230896"
"117","0.15351128578186035","0.15351128578186035","0.15351128578186035"
"118","0.1294616162776947","0.1294616162776947","0.1294616162776947"
"119","0.0967448279261589","0.0967448279261589","0.0967448279261589"
"120","0.17058971524238586","0.17058971524238586","0.17058971524238586"
"121","0.20865723490715027","0.20865723490715027","0.20865723490715027"
"122","0.12624822556972504","0.12624822556972504","0.12624822556972504"
"123","0.14192157983779907","0.14192157983779907","0.14192157983779907"
"124","0.18559104204177856","0.18559104204177856","0.18559104204177856"
"125","0.10857373476028442","0.10857373476028442","0.10857373476028442"
"126","0.08721844851970673","0.08721844851970673","0.08721844851970673"
"127","0.1314367800951004","0.1314367800951004","0.1314367800951004"
"128","0.15349458158016205","0.15349458158016205","0.15349458158016205"
"130","0.15567898750305176","0.15567898750305176","0.15567898750305176"
"131","0.10781816393136978","0.10781816393136978","0.10781816393136978"
"132","0.10786424577236176","0.10786424577236176","0.10786424577236176"
"133","0.1670510470867157","0.1670510470867157","0.1670510470867157"
